"TimePeriod","CampaignId","CampaignName","DeviceType","Network","Impressions","Clicks","Spend","Ctr","AverageCpc","QualityScore","AdDistribution","AverageCpm"
"2019-11-05","353847373","Main Shopping - Important Items","Tablet","Audience","4","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-06","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","29576","332","184.13","1.12%","0.55","--","Search","6.23"
"2019-11-06","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1119","8","3.28","0.71%","0.41","--","Search","2.93"
"2019-11-06","353847373","Main Shopping - Important Items","Computer","AOL search","154","5","2.57","3.25%","0.51","--","Search","16.69"
"2019-11-06","353847373","Main Shopping - Important Items","Computer","Audience","3760","21","13.10","0.56%","0.62","--","Audience","3.48"
"2019-11-06","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1306","12","2.74","0.92%","0.23","--","Search","2.10"
"2019-11-06","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","10560","54","4.10","0.51%","0.08","--","Search","0.39"
"2019-11-06","353847373","Main Shopping - Important Items","Smartphone","Audience","347","1","0.20","0.29%","0.20","--","Audience","0.58"
"2019-11-06","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","206","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-06","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","238","2","0.12","0.84%","0.06","--","Search","0.50"
"2019-11-06","353847373","Main Shopping - Important Items","Tablet","Audience","13","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-07","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","23444","298","174.93","1.27%","0.59","--","Search","7.46"
"2019-11-07","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","823","5","1.51","0.61%","0.30","--","Search","1.83"
"2019-11-07","353847373","Main Shopping - Important Items","Computer","AOL search","122","3","1.33","2.46%","0.44","--","Search","10.90"
"2019-11-07","353847373","Main Shopping - Important Items","Computer","Audience","3353","30","19.34","0.89%","0.64","--","Audience","5.77"
"2019-11-07","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1226","21","6.25","1.71%","0.30","--","Search","5.10"
"2019-11-07","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","8249","49","3.07","0.59%","0.06","--","Search","0.37"
"2019-11-07","353847373","Main Shopping - Important Items","Smartphone","Audience","319","2","0.43","0.63%","0.22","--","Audience","1.35"
"2019-11-07","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","192","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-07","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","176","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-07","353847373","Main Shopping - Important Items","Tablet","Audience","4","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-08","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","28840","312","174.85","1.08%","0.56","--","Search","6.06"
"2019-11-08","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1071","6","3.65","0.56%","0.61","--","Search","3.41"
"2019-11-08","353847373","Main Shopping - Important Items","Computer","AOL search","159","1","0.27","0.63%","0.27","--","Search","1.70"
"2019-11-08","353847373","Main Shopping - Important Items","Computer","Audience","7012","74","35.34","1.06%","0.48","--","Audience","5.04"
"2019-11-08","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1883","12","2.72","0.64%","0.23","--","Search","1.44"
"2019-11-08","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","11621","53","3.82","0.46%","0.07","--","Search","0.33"
"2019-11-08","353847373","Main Shopping - Important Items","Smartphone","Audience","374","3","0.49","0.80%","0.16","--","Audience","1.31"
"2019-11-08","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","269","2","0.60","0.74%","0.30","--","Search","2.23"
"2019-11-08","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","276","1","0.15","0.36%","0.15","--","Search","0.54"
"2019-11-08","353847373","Main Shopping - Important Items","Tablet","Audience","11","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-09","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","5923","53","10.03","0.89%","0.19","--","Search","1.69"
"2019-11-09","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","440","3","0.42","0.68%","0.14","--","Search","0.95"
"2019-11-09","353847373","Main Shopping - Important Items","Computer","AOL search","22","1","0.22","4.55%","0.22","--","Search","10.00"
"2019-11-09","353847373","Main Shopping - Important Items","Computer","Audience","132","1","0.27","0.76%","0.27","--","Audience","2.05"
"2019-11-09","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","651","4","0.39","0.61%","0.10","--","Search","0.60"
"2019-11-09","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","7338","21","0.71","0.29%","0.03","--","Search","0.10"
"2019-11-09","353847373","Main Shopping - Important Items","Smartphone","Audience","70","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-09","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","186","2","0.23","1.08%","0.12","--","Search","1.24"
"2019-11-09","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","291","3","0.12","1.03%","0.04","--","Search","0.41"
"2019-11-09","353847373","Main Shopping - Important Items","Tablet","Audience","5","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-10","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","5661","41","6.28","0.72%","0.15","--","Search","1.11"
"2019-11-10","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","352","2","0.40","0.57%","0.20","--","Search","1.14"
"2019-11-10","353847373","Main Shopping - Important Items","Computer","AOL search","28","3","0.56","10.71%","0.19","--","Search","20.00"
"2019-11-10","353847373","Main Shopping - Important Items","Computer","Audience","177","2","0.57","1.13%","0.28","--","Audience","3.22"
"2019-11-10","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","600","3","0.43","0.50%","0.14","--","Search","0.72"
"2019-11-10","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","8112","33","0.99","0.41%","0.03","--","Search","0.12"
"2019-11-10","353847373","Main Shopping - Important Items","Smartphone","Audience","69","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-10","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","333","1","0.13","0.30%","0.13","--","Search","0.39"
"2019-11-10","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","337","1","0.05","0.30%","0.05","--","Search","0.15"
"2019-11-10","353847373","Main Shopping - Important Items","Tablet","Audience","2","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-11","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","25284","303","167.95","1.20%","0.55","--","Search","6.64"
"2019-11-11","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","977","5","2.33","0.51%","0.47","--","Search","2.38"
"2019-11-11","353847373","Main Shopping - Important Items","Computer","AOL search","141","5","2.30","3.55%","0.46","--","Search","16.31"
"2019-11-11","353847373","Main Shopping - Important Items","Computer","Audience","7845","56","35.11","0.71%","0.63","--","Audience","4.48"
"2019-11-11","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1392","18","4.48","1.29%","0.25","--","Search","3.22"
"2019-11-11","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","12387","60","5.73","0.48%","0.10","--","Search","0.46"
"2019-11-11","353847373","Main Shopping - Important Items","Smartphone","Audience","451","3","0.70","0.67%","0.23","--","Audience","1.55"
"2019-11-11","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","343","8","2.29","2.33%","0.29","--","Search","6.68"
"2019-11-11","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","279","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-11","353847373","Main Shopping - Important Items","Tablet","AOL search","5","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-11","353847373","Main Shopping - Important Items","Tablet","Audience","12","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-12","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","21402","249","144.30","1.16%","0.58","--","Search","6.74"
"2019-11-12","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","720","6","4.01","0.83%","0.67","--","Search","5.57"
"2019-11-12","353847373","Main Shopping - Important Items","Computer","AOL search","145","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-12","353847373","Main Shopping - Important Items","Computer","Audience","5189","44","28.88","0.85%","0.66","--","Audience","5.57"
"2019-11-12","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1265","13","2.29","1.03%","0.18","--","Search","1.81"
"2019-11-12","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","9184","37","2.60","0.40%","0.07","--","Search","0.28"
